airport,year,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,avg_fare,total_passengers,total_delay
STL,2021,3066.3630136986303,191556.0,28016.0,45343.0,181597.0,196.31951488095237,26356.0,446512.0
PIE,2021,14020.75,46257.0,10962.0,28682.0,82038.0,98.62532258064515,8748.0,167939.0
JST,2021,909.3333333333334,8989.0,565.0,88.0,1246.0,,,10888.0
CWA,2020,369.9655172413793,3560.0,2212.0,2322.0,2635.0,,,10729.0
ROA,2022,342.59090909090907,2898.0,503.0,1164.0,2972.0,,,7537.0
OGG,2022,3111.6666666666665,51582.0,1746.0,14707.0,24950.0,,,92985.0
JNU,2021,1996.4705882352941,13427.0,1775.0,7703.0,10732.0,,,33637.0
GRI,2021,310.375,2061.0,1082.0,1589.0,2717.0,,,7449.0
SHR,2020,487.1666666666667,2388.0,1889.0,337.0,1232.0,,,5846.0
GPT,2022,585.2173913043479,6249.0,293.0,3051.0,3867.0,,,13460.0
MLU,2022,436.5833333333333,2123.0,396.0,1111.0,1609.0,,,5239.0
BRW,2022,254.8,322.0,53.0,333.0,566.0,,,1274.0
EKO,2022,87.0,293.0,142.0,0.0,0.0,,,435.0
LAX,2021,13410.758865248226,891484.0,117550.0,247135.0,625564.0,212.95881325910932,257370.0,1881733.0
SIT,2020,372.0,1718.0,364.0,1043.0,2410.0,,,5535.0
FLG,2020,729.0526315789474,4277.0,1427.0,510.0,7638.0,,,13852.0
STL,2022,4207.671875,119209.0,10412.0,30027.0,109220.0,230.33530339805824,35517.0,268868.0
HRL,2022,806.75,9457.0,838.0,1036.0,7973.0,173.830625,1930.0,19304.0
GFK,2022,1066.75,9355.0,2568.0,474.0,404.0,,,12801.0
PSP,2021,996.6695652173913,47416.0,8275.0,11872.0,46841.0,214.8922149122807,3518.0,114404.0
SLC,2021,8487.632352941177,633621.0,148476.0,97588.0,272415.0,217.73588509316772,44173.0,1152100.0
TOL,2021,332.76190476190476,3104.0,1004.0,1015.0,1865.0,120.315,82.0,6988.0
RIC,2020,457.3493150684931,30518.0,3465.0,11420.0,21185.0,161.9013028169014,4483.0,66588.0
HLN,2020,455.25,3497.0,1359.0,316.0,291.0,,,5463.0
DLG,2020,110.0,217.0,16.0,161.0,222.0,,,616.0
BIL,2022,624.0,7564.0,2520.0,1782.0,6179.0,180.195,175.0,18045.0
MLB,2022,825.6470588235294,6241.0,683.0,2921.0,4172.0,,,14017.0
MRY,2022,799.4545454545455,8721.0,976.0,1051.0,6840.0,,,17588.0
GUC,2021,485.59090909090907,6160.0,2031.0,231.0,2261.0,,,10683.0
FNT,2020,315.2909090909091,6223.0,2780.0,4236.0,4102.0,129.42,347.0,17341.0
RDM,2020,896.1666666666666,11864.0,4269.0,1892.0,3431.0,178.70545454545453,526.0,21456.0
ORF,2022,2283.633333333333,52994.0,8367.0,21851.0,53722.0,240.01932291666662,17813.0,136934.0
MSO,2020,270.1969696969697,7961.0,4364.0,2798.0,2707.0,215.548,114.0,17830.0
BQK,2022,947.4,2980.0,659.0,427.0,671.0,,,4737.0
CMI,2022,959.4,1207.0,1052.0,864.0,1635.0,,,4758.0
ALW,2022,298.8,608.0,11.0,198.0,677.0,,,1494.0
AVL,2021,1371.948717948718,31846.0,8783.0,20921.0,45047.0,191.66032258064516,2548.0,106597.0
BUR,2020,684.9230769230769,27043.0,667.0,7755.0,17766.0,208.86557368193616,16640.0,53231.0
AGS,2022,752.0,4192.0,696.0,5314.0,4838.0,,,15040.0
JLN,2022,1513.0,3715.0,2550.0,115.0,1185.0,,,7565.0
ROA,2021,363.42857142857144,4530.0,3407.0,1747.0,2937.0,,,12621.0
BLV,2021,1667.25,6791.0,1650.0,3661.0,7230.0,,,19332.0
DAY,2020,843.3239436619718,22534.0,3542.0,9414.0,24380.0,179.96875,459.0,59870.0
MDT,2020,227.625,8826.0,1774.0,4023.0,5408.0,194.0675,193.0,20031.0
JAC,2020,654.6,13060.0,4292.0,4861.0,7178.0,303.2427272727273,874.0,29391.0
GUM,2020,218.5,1534.0,0.0,220.0,868.0,,,2622.0
SPI,2022,428.54545454545456,1568.0,559.0,822.0,1680.0,,,4629.0
OGS,2022,726.8,2238.0,558.0,0.0,838.0,,,3634.0
DHN,2021,511.5833333333333,2642.0,1665.0,1050.0,716.0,,,6073.0
SWO,2021,303.5833333333333,813.0,522.0,608.0,1700.0,,,3643.0
DDC,2021,689.6666666666666,5374.0,947.0,29.0,1926.0,,,8276.0
HSV,2020,412.2758620689655,14145.0,1228.0,6170.0,14289.0,215.865,613.0,35832.0
MTJ,2020,276.7142857142857,5622.0,1514.0,2147.0,4276.0,,,13559.0
OAJ,2022,724.6,2664.0,445.0,899.0,3236.0,,,7244.0
LAW,2022,634.2857142857143,1259.0,577.0,559.0,2045.0,,,4440.0
PRC,2022,1276.4,5144.0,188.0,0.0,1050.0,,,6382.0
TVC,2021,722.4647887323944,20646.0,3958.0,8799.0,17851.0,259.82800000000003,178.0,51254.0
MSO,2021,716.060975609756,29649.0,6956.0,5434.0,16626.0,207.15699999999998,262.0,58665.0
STS,2021,823.8108108108108,12388.0,319.0,2408.0,15349.0,163.5390909090909,1113.0,30464.0
BFL,2020,667.56,8168.0,580.0,1493.0,6307.0,,,16548.0
LAR,2020,675.5,3942.0,1831.0,1073.0,1260.0,,,8106.0
LWS,2020,403.3333333333333,2081.0,2523.0,151.0,39.0,,,4794.0
MOT,2022,1063.7857142857142,8358.0,3731.0,606.0,2162.0,,,14857.0
DRO,2022,1086.6923076923076,7721.0,547.0,361.0,5498.0,,,14127.0
EAR,2022,879.6,3019.0,350.0,15.0,1014.0,,,4398.0
